Feb 22 19:48:16: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0): gameplay?code=AQCBvC53-riHcYhz7cHYD8nW_tDkZ5kDTerbPk950KzbYZs41PqIR3eCp8feZosSuT-sVnX3LwXyxxinel9ArarLFnf9t06qOOuDzzC24DpzB0UXwWLIRImqoAz35HCMRjdxNjxa85DFDRHlxLarWMeBKH0l8akW4LWIdmLG0P6nkHCiC4TsuQZf7h2gwXjpZyHJUrk6fRqKXW7_NjTfJHjXgI0jpalJ1pyFQceSjOJQ2fqj54ULsLLl0L9qWZIS0sWFAYIU4bFF-_NZTZjW4Gux5i_2BgylhmGpurp_BEguHgNBhZtCWrKNIfvUoqU0fEE
Feb 22 19:48:16: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0): css/UC.css
Feb 22 19:49:59: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0): gameplay?code=AQCBvC53-riHcYhz7cHYD8nW_tDkZ5kDTerbPk950KzbYZs41PqIR3eCp8feZosSuT-sVnX3LwXyxxinel9ArarLFnf9t06qOOuDzzC24DpzB0UXwWLIRImqoAz35HCMRjdxNjxa85DFDRHlxLarWMeBKH0l8akW4LWIdmLG0P6nkHCiC4TsuQZf7h2gwXjpZyHJUrk6fRqKXW7_NjTfJHjXgI0jpalJ1pyFQceSjOJQ2fqj54ULsLLl0L9qWZIS0sWFAYIU4bFF-_NZTZjW4Gux5i_2BgylhmGpurp_BEguHgNBhZtCWrKNIfvUoqU0fEE
Feb 22 19:49:59: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0): gameplay?code=AQCBvC53-riHcYhz7cHYD8nW_tDkZ5kDTerbPk950KzbYZs41PqIR3eCp8feZosSuT-sVnX3LwXyxxinel9ArarLFnf9t06qOOuDzzC24DpzB0UXwWLIRImqoAz35HCMRjdxNjxa85DFDRHlxLarWMeBKH0l8akW4LWIdmLG0P6nkHCiC4TsuQZf7h2gwXjpZyHJUrk6fRqKXW7_NjTfJHjXgI0jpalJ1pyFQceSjOJQ2fqj54ULsLLl0L9qWZIS0sWFAYIU4bFF-_NZTZjW4Gux5i_2BgylhmGpurp_BEguHgNBhZtCWrKNIfvUoqU0fEE
Feb 22 19:50:38: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0): main
Feb 22 19:50:39: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0): main
Feb 22 19:50:41: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0): main
Feb 22 19:52:00: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0): main
Feb 22 19:52:01: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0): main
Feb 22 19:52:03: access: connection for localhost from 127.0.0.1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0): main
